# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.8640833e+06	1.7547181e+02	1.0951201e+18	2.6531099e-02
1.8730188e+06	1.7547181e+02	1.0842235e+18	2.6267110e-02
1.8819543e+06	1.7547181e+02	1.0734353e+18	2.6005748e-02
1.8908898e+06	1.7547181e+02	1.0627544e+18	2.5746987e-02
1.8998253e+06	1.7547181e+02	1.0521799e+18	2.5490800e-02
1.9087608e+06	1.7547181e+02	1.0417105e+18	2.5237162e-02
1.9176963e+06	1.7547181e+02	1.0313453e+18	2.4986048e-02
1.9266318e+06	1.7547181e+02	1.0210832e+18	2.4737433e-02
1.9355673e+06	1.7547181e+02	1.0109233e+18	2.4491291e-02
1.9445028e+06	1.7547181e+02	1.0008644e+18	2.4247599e-02
1.9534383e+06	1.7547181e+02	9.9090567e+17	2.4006331e-02
1.9623738e+06	1.7547181e+02	9.8104599e+17	2.3767464e-02
1.9713093e+06	1.7547181e+02	9.7128442e+17	2.3530974e-02
1.9802448e+06	1.7547181e+02	9.6161998e+17	2.3296837e-02
1.9891803e+06	1.7547181e+02	9.5205170e+17	2.3065029e-02
1.9981158e+06	1.7547181e+02	9.4257863e+17	2.2835529e-02
2.0070513e+06	1.7547181e+02	9.3319981e+17	2.2608311e-02
2.0159868e+06	1.7547181e+02	9.2391432e+17	2.2383355e-02
2.0249223e+06	1.7547181e+02	9.1472122e+17	2.2160637e-02
2.0338578e+06	1.7547181e+02	9.0561959e+17	2.1940135e-02
2.0427933e+06	1.7547181e+02	8.9660852e+17	2.1721827e-02
2.0517288e+06	1.7547181e+02	8.8768712e+17	2.1505691e-02
2.0606643e+06	1.7547181e+02	8.7885449e+17	2.1291706e-02
2.0695998e+06	1.7547181e+02	8.7010974e+17	2.1079850e-02
2.0785353e+06	1.7547181e+02	8.6145200e+17	2.0870102e-02
2.0874708e+06	1.7547181e+02	8.5288041e+17	2.0662441e-02
2.0964063e+06	1.7547181e+02	8.4439411e+17	2.0456846e-02
2.1053418e+06	1.7547181e+02	8.3599225e+17	2.0253297e-02
2.1142773e+06	1.7547181e+02	8.2767399e+17	2.0051773e-02
2.1232128e+06	1.7547181e+02	8.1943849e+17	1.9852255e-02
2.1321483e+06	1.7547181e+02	8.1128494e+17	1.9654722e-02
2.1410838e+06	1.7547181e+02	8.0321252e+17	1.9459154e-02
2.1500193e+06	1.7547181e+02	7.9522042e+17	1.9265532e-02
2.1589548e+06	1.7547181e+02	7.8730785e+17	1.9073837e-02
2.1678903e+06	1.7547181e+02	7.7947400e+17	1.8884049e-02
2.1768258e+06	1.7547181e+02	7.7171811e+17	1.8696149e-02
2.1857613e+06	1.7547181e+02	7.6403939e+17	1.8510120e-02
2.1946968e+06	1.7547181e+02	7.5643707e+17	1.8325941e-02
2.2036323e+06	1.7547181e+02	7.4891039e+17	1.8143595e-02
2.2125678e+06	1.7547181e+02	7.4145861e+17	1.7963063e-02
2.2215033e+06	1.7547181e+02	7.3408097e+17	1.7784327e-02
2.2304388e+06	1.7547181e+02	7.2677674e+17	1.7607370e-02
2.2393743e+06	1.7547181e+02	7.1954520e+17	1.7432174e-02
2.2483098e+06	1.7547181e+02	7.1238560e+17	1.7258721e-02
2.2572453e+06	1.7547181e+02	7.0529725e+17	1.7086994e-02
2.2661808e+06	1.7547181e+02	6.9827942e+17	1.6916976e-02
