# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.2731586e+06	1.8734294e+02	2.1498580e+19	5.5607481e-01
1.2826958e+06	1.8723221e+02	2.1297253e+19	5.5054177e-01
1.2922274e+06	1.8712161e+02	2.1097805e+19	5.4506378e-01
1.3017533e+06	1.8701114e+02	2.0900216e+19	5.3964031e-01
1.3112736e+06	1.8690081e+02	2.0704471e+19	5.3427079e-01
1.3207883e+06	1.8679060e+02	2.0510552e+19	5.2895471e-01
1.3302974e+06	1.8668052e+02	2.0318443e+19	5.2369152e-01
1.3398008e+06	1.8657058e+02	2.0128125e+19	5.1848070e-01
1.3492987e+06	1.8646076e+02	1.9939584e+19	5.1332173e-01
1.3587910e+06	1.8635107e+02	1.9752802e+19	5.0821409e-01
1.3682777e+06	1.8624151e+02	1.9567762e+19	5.0315727e-01
1.3777589e+06	1.8613208e+02	1.9384449e+19	4.9815077e-01
1.3872344e+06	1.8602278e+02	1.9202847e+19	4.9319409e-01
1.3967044e+06	1.8591360e+02	1.9022940e+19	4.8828673e-01
1.4061689e+06	1.8580456e+02	1.8844712e+19	4.8342819e-01
1.4156278e+06	1.8569564e+02	1.8668147e+19	4.7861800e-01
1.4250811e+06	1.8558685e+02	1.8493230e+19	4.7385567e-01
1.4345289e+06	1.8547818e+02	1.8319946e+19	4.6914072e-01
1.4439712e+06	1.8536965e+02	1.8148279e+19	4.6447269e-01
1.4534080e+06	1.8526124e+02	1.7978215e+19	4.5985111e-01
1.4628392e+06	1.8515296e+02	1.7809738e+19	4.5527552e-01
1.4722650e+06	1.8504480e+02	1.7642834e+19	4.5074545e-01
1.4816852e+06	1.8493677e+02	1.7477488e+19	4.4626045e-01
1.4910999e+06	1.8482887e+02	1.7313686e+19	4.4182009e-01
1.5005092e+06	1.8472109e+02	1.7151413e+19	4.3742390e-01
1.5099129e+06	1.8461344e+02	1.6990656e+19	4.3307146e-01
1.5193112e+06	1.8450591e+02	1.6831399e+19	4.2876233e-01
1.5287040e+06	1.8439851e+02	1.6673630e+19	4.2449607e-01
1.5380914e+06	1.8429123e+02	1.6517333e+19	4.2027226e-01
1.5474732e+06	1.8418408e+02	1.6362497e+19	4.1609048e-01
1.5568497e+06	1.8407706e+02	1.6209106e+19	4.1195031e-01
1.5662206e+06	1.8397015e+02	1.6057148e+19	4.0785134e-01
1.5755862e+06	1.8386337e+02	1.5906609e+19	4.0379315e-01
1.5849463e+06	1.8375672e+02	1.5757476e+19	3.9977534e-01
1.5943010e+06	1.8365019e+02	1.5609736e+19	3.9579750e-01
1.6036502e+06	1.8354378e+02	1.5463376e+19	3.9185925e-01
1.6129941e+06	1.8343750e+02	1.5318383e+19	3.8796019e-01
1.6223325e+06	1.8333133e+02	1.5174745e+19	3.8409992e-01
1.6316655e+06	1.8322530e+02	1.5032448e+19	3.8027806e-01
1.6409931e+06	1.8311938e+02	1.4891481e+19	3.7649423e-01
1.6503154e+06	1.8301359e+02	1.4751831e+19	3.7274805e-01
1.6596322e+06	1.8290791e+02	1.4613486e+19	3.6903914e-01
1.6689437e+06	1.8280236e+02	1.4476433e+19	3.6536714e-01
1.6782498e+06	1.8269694e+02	1.4340661e+19	3.6173167e-01
1.6875506e+06	1.8259163e+02	1.4206157e+19	3.5813238e-01
1.6968460e+06	1.8248645e+02	1.4072910e+19	3.5456891e-01
1.7061360e+06	1.8238138e+02	1.3940909e+19	3.5104089e-01
1.7154207e+06	1.8227644e+02	1.3810141e+19	3.4754797e-01
