# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
3.1378191e+06	2.1167691e+02	3.9592525e+17	1.1571051e-02
3.1485983e+06	2.1167691e+02	3.9198573e+17	1.1455917e-02
3.1593774e+06	2.1167691e+02	3.8808540e+17	1.1341929e-02
3.1701566e+06	2.1167691e+02	3.8422389e+17	1.1229075e-02
3.1809358e+06	2.1167691e+02	3.8040080e+17	1.1117343e-02
3.1917149e+06	2.1167691e+02	3.7661575e+17	1.1006724e-02
3.2024941e+06	2.1167691e+02	3.7286836e+17	1.0897205e-02
3.2132732e+06	2.1167691e+02	3.6915825e+17	1.0788776e-02
3.2240524e+06	2.1167691e+02	3.6548507e+17	1.0681426e-02
3.2348316e+06	2.1167691e+02	3.6184843e+17	1.0575144e-02
3.2456107e+06	2.1167691e+02	3.5824798e+17	1.0469920e-02
3.2563899e+06	2.1167691e+02	3.5468335e+17	1.0365742e-02
3.2671690e+06	2.1167691e+02	3.5115419e+17	1.0262601e-02
3.2779482e+06	2.1167691e+02	3.4766015e+17	1.0160487e-02
3.2887274e+06	2.1167691e+02	3.4420087e+17	1.0059388e-02
3.2995065e+06	2.1167691e+02	3.4077602e+17	9.9592958e-03
3.3102857e+06	2.1167691e+02	3.3738524e+17	9.8601991e-03
3.3210649e+06	2.1167691e+02	3.3402820e+17	9.7620885e-03
3.3318440e+06	2.1167691e+02	3.3070457e+17	9.6649541e-03
3.3426232e+06	2.1167691e+02	3.2741400e+17	9.5687862e-03
3.3534023e+06	2.1167691e+02	3.2415618e+17	9.4735752e-03
3.3641815e+06	2.1167691e+02	3.2093077e+17	9.3793115e-03
3.3749607e+06	2.1167691e+02	3.1773745e+17	9.2859858e-03
3.3857398e+06	2.1167691e+02	3.1457591e+17	9.1935887e-03
3.3965190e+06	2.1167691e+02	3.1144583e+17	9.1021110e-03
3.4072981e+06	2.1167691e+02	3.0834689e+17	9.0115435e-03
3.4180773e+06	2.1167691e+02	3.0527879e+17	8.9218771e-03
3.4288565e+06	2.1167691e+02	3.0224122e+17	8.8331029e-03
3.4396356e+06	2.1167691e+02	2.9923387e+17	8.7452121e-03
3.4504148e+06	2.1167691e+02	2.9625644e+17	8.6581958e-03
3.4611940e+06	2.1167691e+02	2.9330864e+17	8.5720453e-03
3.4719731e+06	2.1167691e+02	2.9039017e+17	8.4867520e-03
3.4827523e+06	2.1167691e+02	2.8750074e+17	8.4023074e-03
3.4935314e+06	2.1167691e+02	2.8464006e+17	8.3187031e-03
3.5043106e+06	2.1167691e+02	2.8180784e+17	8.2359306e-03
3.5150898e+06	2.1167691e+02	2.7900381e+17	8.1539817e-03
3.5258689e+06	2.1167691e+02	2.7622767e+17	8.0728482e-03
3.5366481e+06	2.1167691e+02	2.7347916e+17	7.9925221e-03
3.5474272e+06	2.1167691e+02	2.7075800e+17	7.9129951e-03
3.5582064e+06	2.1167691e+02	2.6806391e+17	7.8342595e-03
3.5689856e+06	2.1167691e+02	2.6539663e+17	7.7563073e-03
3.5797647e+06	2.1167691e+02	2.6275589e+17	7.6791308e-03
3.5905439e+06	2.1167691e+02	2.6014143e+17	7.6027222e-03
3.6013231e+06	2.1167691e+02	2.5755297e+17	7.5270738e-03
3.6121022e+06	2.1167691e+02	2.5499028e+17	7.4521782e-03
3.6228814e+06	2.1167691e+02	2.5245308e+17	7.3780278e-03
3.6336605e+06	2.1167691e+02	2.4994113e+17	7.3046152e-03
3.6444397e+06	2.1167691e+02	2.4745418e+17	7.2319330e-03
3.6552189e+06	2.1167691e+02	2.4499197e+17	7.1599741e-03
3.6659980e+06	2.1167691e+02	2.4255426e+17	7.0887312e-03
3.6767772e+06	2.1167691e+02	2.4014080e+17	7.0181971e-03
3.6875563e+06	2.1167691e+02	2.3775136e+17	6.9483649e-03
3.6983355e+06	2.1167691e+02	2.3538570e+17	6.8792275e-03
3.7091147e+06	2.1167691e+02	2.3304357e+17	6.8107780e-03
3.7198938e+06	2.1167691e+02	2.3072475e+17	6.7430097e-03
3.7306730e+06	2.1167691e+02	2.2842900e+17	6.6759156e-03
3.7414522e+06	2.1167691e+02	2.2615609e+17	6.6094891e-03
3.7522313e+06	2.1167691e+02	2.2390580e+17	6.5437236e-03
3.7630105e+06	2.1167691e+02	2.2167790e+17	6.4786125e-03
3.7737896e+06	2.1167691e+02	2.1947217e+17	6.4141492e-03
3.7845688e+06	2.1167691e+02	2.1728838e+17	6.3503273e-03
3.7953480e+06	2.1167691e+02	2.1512633e+17	6.2871405e-03
3.8061271e+06	2.1167691e+02	2.1298578e+17	6.2245824e-03
3.8169063e+06	2.1167691e+02	2.1086654e+17	6.1626468e-03
3.8276855e+06	2.1167691e+02	2.0876838e+17	6.1013275e-03
3.8384646e+06	2.1167691e+02	2.0669110e+17	6.0406182e-03
3.8492438e+06	2.1167691e+02	2.0463449e+17	5.9805131e-03
3.8600229e+06	2.1167691e+02	2.0259835e+17	5.9210060e-03
3.8708021e+06	2.1167691e+02	2.0058246e+17	5.8620910e-03
3.8815813e+06	2.1167691e+02	1.9858663e+17	5.8037622e-03
3.8923604e+06	2.1167691e+02	1.9661066e+17	5.7460138e-03
3.9031396e+06	2.1167691e+02	1.9465435e+17	5.6888400e-03
3.9139187e+06	2.1167691e+02	1.9271751e+17	5.6322351e-03
3.9246979e+06	2.1167691e+02	1.9079994e+17	5.5761934e-03
3.9354771e+06	2.1167691e+02	1.8890145e+17	5.5207094e-03
3.9462562e+06	2.1167691e+02	1.8702184e+17	5.4657774e-03
3.9570354e+06	2.1167691e+02	1.8516095e+17	5.4113920e-03
3.9678146e+06	2.1167691e+02	1.8331856e+17	5.3575478e-03
3.9785937e+06	2.1167691e+02	1.8149451e+17	5.3042393e-03
3.9893729e+06	2.1167691e+02	1.7968861e+17	5.2514612e-03
4.0001520e+06	2.1167691e+02	1.7790068e+17	5.1992083e-03
4.0109312e+06	2.1167691e+02	1.7613054e+17	5.1474753e-03
4.0217104e+06	2.1167691e+02	1.7437801e+17	5.0962571e-03
4.0324895e+06	2.1167691e+02	1.7264292e+17	5.0455485e-03
4.0432687e+06	2.1167691e+02	1.7092510e+17	4.9953444e-03
4.0540478e+06	2.1167691e+02	1.6922436e+17	4.9456399e-03
4.0648270e+06	2.1167691e+02	1.6754055e+17	4.8964300e-03
4.0756062e+06	2.1167691e+02	1.6587350e+17	4.8477097e-03
4.0863853e+06	2.1167691e+02	1.6422303e+17	4.7994742e-03
4.0971645e+06	2.1167691e+02	1.6258898e+17	4.7517186e-03
4.1079437e+06	2.1167691e+02	1.6097119e+17	4.7044382e-03
4.1187228e+06	2.1167691e+02	1.5936950e+17	4.6576283e-03
4.1295020e+06	2.1167691e+02	1.5778375e+17	4.6112841e-03
4.1402811e+06	2.1167691e+02	1.5621378e+17	4.5654010e-03
4.1510603e+06	2.1167691e+02	1.5465942e+17	4.5199745e-03
